"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin","Real Dimensions","Dimensions in Attributes","Display Dimensions","Potential Savings (bytes)"
"Misc","https://www.columbiadoctors.org/specialties/orthopedics/our-services/shoulder-and-elbow/conditions-we-treat/shoulder-dislocation","https://www.columbiadoctors.org/sites/default/files/styles/cola_media_1040_16_9/public/media/images/teaser/2025-12/shoulder-dislocation.jpg?itok=IvzPQj0O","65998","","","200","","true","","","N/A","","","Dynamically Loaded","","","","0"
"Misc","https://www.columbiadoctors.org/specialties/orthopedics/our-services/shoulder-and-elbow/conditions-we-treat/shoulder-pain","https://www.columbiadoctors.org/sites/default/files/styles/cola_media_1040_16_9/public/media/images/teaser/2025-12/shoulder-pain.jpg?itok=wmIeDsTi","41314","","","200","","true","","","N/A","","","Dynamically Loaded","","","","0"
"Misc","https://www.columbiadoctors.org/specialties/orthopedics/our-services/shoulder-and-elbow/conditions-we-treat/tennis-elbow","https://www.columbiadoctors.org/sites/default/files/styles/cola_media_1040_16_9/public/media/images/teaser/2025-12/tennis-elbow.jpg?itok=4UWS0qHH","47388","","","200","","true","","","N/A","","","Dynamically Loaded","","","","0"
"Misc","https://www.columbiadoctors.org/specialties/orthopedics/our-services/shoulder-and-elbow/treatments-we-offer","https://www.columbiadoctors.org/sites/default/files/styles/cola_media_1040_16_9/public/media/images/teaser/2025-11/sports_medicine_-_conditions_we_treat.jpg?itok=She7QbVx","42180","","","200","","true","","","N/A","","","Dynamically Loaded","","","","0"
"Misc","https://www.columbiadoctors.org/specialties/orthopedics/our-services/spine","https://www.columbiadoctors.org/sites/default/files/styles/cola_media_520_16_9/public/media/images/teaser/2025-12/about-spine-care.jpg?itok=bCfcMaPS","25200","","","200","","true","","","N/A","","","Dynamically Loaded","","","","0"
"Misc","https://www.columbiadoctors.org/specialties/orthopedics/our-services/spine","https://www.columbiadoctors.org/sites/default/files/styles/cola_media_520_16_9/public/media/images/teaser/2025-12/conditions-we-treat.jpg?itok=SIW5s__e","16624","","","200","","true","","","N/A","","","Dynamically Loaded","","","","0"
"Misc","https://www.columbiadoctors.org/specialties/orthopedics/our-services/spine","https://www.columbiadoctors.org/sites/default/files/styles/cola_media_1600_3_1/public/media/images/2025-10/ortho_-_spine_hero.jpg?itok=B6r8wHIb","122157","","","200","","true","","","N/A","","","Dynamically Loaded","","","","0"
"Misc","https://www.columbiadoctors.org/specialties/orthopedics/our-services/spine/about-spine-care","https://www.columbiadoctors.org/sites/default/files/styles/cola_media_1040_16_9/public/media/images/teaser/2025-12/about-spine-care.jpg?itok=TnxwzZzr","70850","","","200","","true","","","N/A","","","Dynamically Loaded","","","","0"
"Misc","https://www.columbiadoctors.org/specialties/orthopedics/our-services/spine/conditions-we-treat","https://www.columbiadoctors.org/sites/default/files/styles/cola_media_1040_16_9/public/media/images/teaser/2025-12/conditions-we-treat.jpg?itok=rSmlYL0X","43601","","","200","","true","","","N/A","","","Dynamically Loaded","","","","0"
"Misc","https://www.columbiadoctors.org/specialties/orthopedics/our-services/spine/conditions-we-treat/compression-fracture","https://www.columbiadoctors.org/sites/default/files/styles/cola_media_1040_16_9/public/media/general/2025-12/compression-fracture.jpg?itok=G6mDeIDi","57277","","","200","","true","","","N/A","","","Dynamically Loaded","","","","0"
"Misc","https://www.columbiadoctors.org/specialties/orthopedics/our-services/spine/conditions-we-treat/degenerative-spinal-conditions","https://www.columbiadoctors.org/sites/default/files/styles/cola_media_1040_16_9/public/media/general/2025-12/degenerative-spinal-conditions.jpg?itok=3zQY2YQL","64127","","","200","","true","","","N/A","","","Dynamically Loaded","","","","0"
"Misc","https://www.columbiadoctors.org/specialties/orthopedics/our-services/spine/conditions-we-treat/herniated-disc","https://www.columbiadoctors.org/sites/default/files/styles/cola_media_1040_16_9/public/media/general/2025-12/herniated-disc.jpg?itok=7XMXBy0k","89733","","","200","","true","","","N/A","","","Dynamically Loaded","","","","0"
"Misc","https://www.columbiadoctors.org/specialties/orthopedics/our-services/spine/conditions-we-treat/sciatica","https://www.columbiadoctors.org/sites/default/files/styles/cola_media_1040_16_9/public/media/general/2025-12/sciatica.jpg?itok=_U931wD0","42644","","","200","","true","","","N/A","","","Dynamically Loaded","","","","0"
